<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2b163d4c3a80> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2b163d4c3e40> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2b163d4c3ba0> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2b163d4c3a80> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2b163d4c3e40> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
7.2%	720000	-31950.53296738019	298.07540694347	30.285379982686244	0.9838241663003258
7.3%	730000	-32215.0995837737	305.7118208850857	30.439285258129253	0.9788498139783866
7.4%	740000	-31646.163601792126	299.8616211860551	30.969766700346913	0.9620830857670332
7.5%	750000	-31529.77126748889	309.62639371868255	30.658690496927846	0.971844792768971
7.6%	760000	-31383.48068239767	310.3195740673348	30.913753669362226	0.9638262965808762
7.7%	770000	-31202.847636111022	314.1772014747618	30.83767260728964	0.9662041974436029
7.8%	780000	-31209.647121979797	310.59729227492716	30.59309450305003	0.9739285677551957
7.9%	790000	-31911.384292642993	304.40221204504155	30.884513386086308	0.9647388106810173
8.0%	800000	-31459.60425535281	309.457558843465	30.830239698590848	0.9664371410617583
8.1%	810000	-31769.39472516527	314.80958924655874	29.99813747472868	0.9932446218587894
8.2%	820000	-31536.993320080044	316.96772211739795	30.460633933342354	0.9781637761629307
8.3%	830000	-31472.723475473875	307.46936116371165	30.670509833947744	0.9714702779272237
8.4%	840000	-31827.833403140714	301.0440657120124	30.532768688858344	0.9758528293383194
8.5%	850000	-31311.630043614598	312.28499968432425	30.190533460038015	0.986914946434913
8.6%	860000	-31362.993822588294	317.9380055985498	30.687037043379384	0.970947070270609
8.7%	870000	-31462.76804988802	307.6236200975896	30.432999698573553	0.9790519832966524
8.8%	880000	-31645.794925864728	309.9614605239092	30.370416087248767	0.9810694929881028
8.9%	890000	-31039.076722664235	314.81484484446213	30.823165166515683	0.9666589576894841
9.0%	900000	-31363.155488256307	307.93648574996854	30.882108445785924	0.9648139395942269
9.1%	910000	-31375.61590898881	321.2504956798275	30.53770453952759	0.9756951009198479
9.2%	920000	-31789.645897355804	311.0780887010896	30.605566052566513	0.9735316988217013
9.3%	930000	-32021.969886606967	307.2568191467706	30.294390889629934	0.9835315329860008
9.4%	940000	-31496.373426585167	310.4950495128708	30.416055910460678	0.9795973810762103
9.5%	950000	-31089.918762703834	307.1531639852912	31.430875989909996	0.947968765557787
9.6%	960000	-31532.693140987947	309.0374156466993	30.56557990579039	0.9748052811165662
9.7%	970000	-31261.74298454693	313.5760773673906	30.647103823360215	0.9722122156888371
9.8%	980000	-31348.714379398094	312.1425390316196	30.852863069789382	0.9657284850730796
9.9%	990000	-31135.549902916828	316.991871918825	30.93068707119473	0.9632986374978699
10.0%	1000000	-31548.949313704798	313.5765775796575	30.770549032293392	0.9683118972392981
10.1%	1010000	-31572.95846045384	301.48831400378555	30.22724380121923	0.9857163593378319
10.2%	1020000	-31538.847580508736	307.1749081395412	30.744473190725838	0.96913316834919
10.3%	1030000	-31329.766378337925	308.43164459593595	30.327805432614632	0.9824478984724917
10.4%	1040000	-31696.100027691515	308.81023070429166	30.751888035049298	0.9688994925643465
10.5%	1050000	-31167.69542786706	319.6842359433958	31.034409180583076	0.9600791347172367
10.6%	1060000	-31596.836486638116	302.19546929229324	30.878010888279928	0.9649419718244887
10.7%	1070000	-31414.989932125376	306.21145663860796	31.12230642972896	0.9573676289008362
10.8%	1080000	-31412.287738542014	319.77490592828076	30.336535785013943	0.9821651662439864
10.9%	1090000	-31263.28480873903	314.6648835183398	30.522853675214535	0.9761698244076598
11.0%	1100000	-31517.54767976835	301.45451695595244	30.65367143462273	0.9720039172502329
11.1%	1110000	-31387.77255799988	309.19404690001255	30.59411325752651	0.9738961368728289
11.2%	1120000	-31179.401898411976	316.7417275500005	30.801296845177607	0.9673452667373577
11.3%	1130000	-31936.23937846668	295.24994147090104	30.503265741962526	0.9767966802179483
11.4%	1140000	-31327.55078793032	311.57399255937463	30.493562378001705	0.9771075069290548
11.5%	1150000	-31657.359586946608	311.71131813626766	30.57603285288381	0.9744720270257256
11.6%	1160000	-31573.980239832716	298.1700301585375	30.744917166800874	0.9691191734524748
11.7%	1170000	-31560.477983476536	304.67216273849033	30.144028935346196	0.988437503707985
11.8%	1180000	-31665.743426645815	311.040181492999	30.59079097840763	0.9740019057887674
11.9%	1190000	-31159.942216510826	318.19681793669446	31.023989799546904	0.9604015764919448
12.0%	1200000	-31628.565848866885	307.2466620523554	30.653164513952355	0.9720199915735582
12.1%	1210000	-31340.944707031304	313.38610030678444	29.9935377972869	0.9933969414988467
12.2%	1220000	-31507.030759680027	313.5116310727401	31.130175397483892	0.9571256291399853
12.3%	1230000	-31640.00329294236	309.7825423747297	30.165712059538283	0.9877270144907335
12.4%	1240000	-31748.53154424712	303.03080912008613	30.56610481195454	0.9747885409625932
12.5%	1250000	-31649.99779344938	302.940927062003	30.400483250673908	0.980099180229129
12.6%	1260000	-31437.448528032226	313.03230784788656	30.873732988136997	0.9650756752998921
12.7%	1270000	-31317.831780395645	318.97335534452617	30.387756431061668	0.980509659544941
12.8%	1280000	-31402.87151958415	313.6803905278261	30.78547009793338	0.9678425769614941
12.9%	1290000	-31037.11052777007	321.2305763877898	30.99871315060298	0.9611846971775112
13.0%	1300000	-31576.871218259388	312.451477136461	30.369280190487796	0.9811061877550639
13.1%	1310000	-31425.70416949311	306.23743762717623	30.869932514872918	0.9651944881382427
13.2%	1320000	-31496.609260355996	307.8729054256741	31.289159822437764	0.952262345222457
13.3%	1330000	-31055.44120385073	311.7483032686209	30.449324635986386	0.978527079623343
13.4%	1340000	-31536.157360096404	313.4624851097215	30.421230317520354	0.9794307594257584
13.5%	1350000	-31748.983211711922	313.9741570285086	30.553028949593042	0.9752057238485917
13.6%	1360000	-31394.39176180953	310.4244643508445	30.82167774704428	0.966705607562592
13.7%	1370000	-31438.309402694635	311.76242066795334	31.06325274740272	0.9591876599286961
